0 ,/, 3000 ,epoch,Train loss:, 6.841330, acc:, 0.175, Test loss:, 2.600423, acc:, 0.143,---, 0.0389, seconds ---
42 ,/, 3000 ,epoch,Train loss:, 1.019867, acc:, 0.450, Test loss:, 1.109339, acc:, 0.595,---, 0.0385, seconds ---
43 ,/, 3000 ,epoch,Train loss:, 0.911162, acc:, 0.600, Test loss:, 1.119442, acc:, 0.548,---, 0.0386, seconds ---
44 ,/, 3000 ,epoch,Train loss:, 0.950778, acc:, 0.600, Test loss:, 1.143725, acc:, 0.548,---, 0.0386, seconds ---
45 ,/, 3000 ,epoch,Train loss:, 0.862897, acc:, 0.625, Test loss:, 1.141596, acc:, 0.571,---, 0.0385, seconds ---
46 ,/, 3000 ,epoch,Train loss:, 0.948447, acc:, 0.600, Test loss:, 1.126654, acc:, 0.571,---, 0.0385, seconds ---
47 ,/, 3000 ,epoch,Train loss:, 0.839898, acc:, 0.700, Test loss:, 1.126526, acc:, 0.595,---, 0.0385, seconds ---
48 ,/, 3000 ,epoch,Train loss:, 0.880490, acc:, 0.650, Test loss:, 1.118573, acc:, 0.595,---, 0.0386, seconds ---
49 ,/, 3000 ,epoch,Train loss:, 0.864164, acc:, 0.675, Test loss:, 1.124836, acc:, 0.595,---, 0.0385, seconds ---
50 ,/, 3000 ,epoch,Train loss:, 0.948904, acc:, 0.600, Test loss:, 1.131312, acc:, 0.595,---, 0.0386, seconds ---
51 ,/, 3000 ,epoch,Train loss:, 0.893090, acc:, 0.600, Test loss:, 1.133424, acc:, 0.595,---, 0.0386, seconds ---
52 ,/, 3000 ,epoch,Train loss:, 0.943415, acc:, 0.625, Test loss:, 1.122463, acc:, 0.619,---, 0.0387, seconds ---
53 ,/, 3000 ,epoch,Train loss:, 0.834036, acc:, 0.625, Test loss:, 1.123055, acc:, 0.595,---, 0.0385, seconds ---
54 ,/, 3000 ,epoch,Train loss:, 0.852304, acc:, 0.625, Test loss:, 1.102132, acc:, 0.595,---, 0.0387, seconds ---
55 ,/, 3000 ,epoch,Train loss:, 0.831895, acc:, 0.625, Test loss:, 1.112988, acc:, 0.619,---, 0.0390, seconds ---
56 ,/, 3000 ,epoch,Train loss:, 0.877480, acc:, 0.650, Test loss:, 1.125284, acc:, 0.595,---, 0.0390, seconds ---
57 ,/, 3000 ,epoch,Train loss:, 0.898261, acc:, 0.575, Test loss:, 1.132859, acc:, 0.619,---, 0.0392, seconds ---
58 ,/, 3000 ,epoch,Train loss:, 0.851755, acc:, 0.675, Test loss:, 1.136890, acc:, 0.595,---, 0.0389, seconds ---
59 ,/, 3000 ,epoch,Train loss:, 0.751012, acc:, 0.700, Test loss:, 1.137530, acc:, 0.595,---, 0.0387, seconds ---
60 ,/, 3000 ,epoch,Train loss:, 0.699314, acc:, 0.825, Test loss:, 1.141692, acc:, 0.595,---, 0.0386, seconds ---
61 ,/, 3000 ,epoch,Train loss:, 0.792709, acc:, 0.675, Test loss:, 1.180713, acc:, 0.595,---, 0.0386, seconds ---
62 ,/, 3000 ,epoch,Train loss:, 0.780871, acc:, 0.675, Test loss:, 1.133888, acc:, 0.643,---, 0.0386, seconds ---
63 ,/, 3000 ,epoch,Train loss:, 0.827890, acc:, 0.700, Test loss:, 1.144985, acc:, 0.619,---, 0.0386, seconds ---
64 ,/, 3000 ,epoch,Train loss:, 0.839195, acc:, 0.575, Test loss:, 1.150260, acc:, 0.619,---, 0.0387, seconds ---
65 ,/, 3000 ,epoch,Train loss:, 0.904156, acc:, 0.575, Test loss:, 1.123471, acc:, 0.619,---, 0.0385, seconds ---
66 ,/, 3000 ,epoch,Train loss:, 0.849723, acc:, 0.625, Test loss:, 1.070388, acc:, 0.643,---, 0.0384, seconds ---
67 ,/, 3000 ,epoch,Train loss:, 0.951548, acc:, 0.625, Test loss:, 1.044863, acc:, 0.619,---, 0.0387, seconds ---
68 ,/, 3000 ,epoch,Train loss:, 0.859820, acc:, 0.675, Test loss:, 1.037672, acc:, 0.643,---, 0.0384, seconds ---
69 ,/, 3000 ,epoch,Train loss:, 0.900805, acc:, 0.525, Test loss:, 1.035388, acc:, 0.643,---, 0.0387, seconds ---
70 ,/, 3000 ,epoch,Train loss:, 0.910484, acc:, 0.600, Test loss:, 1.025098, acc:, 0.643,---, 0.0386, seconds ---
71 ,/, 3000 ,epoch,Train loss:, 0.738299, acc:, 0.700, Test loss:, 1.030048, acc:, 0.619,---, 0.0393, seconds ---
72 ,/, 3000 ,epoch,Train loss:, 0.918235, acc:, 0.650, Test loss:, 1.023881, acc:, 0.619,---, 0.0389, seconds ---
73 ,/, 3000 ,epoch,Train loss:, 0.798567, acc:, 0.600, Test loss:, 1.056477, acc:, 0.571,---, 0.0392, seconds ---
74 ,/, 3000 ,epoch,Train loss:, 0.860673, acc:, 0.525, Test loss:, 1.061078, acc:, 0.595,---, 0.0387, seconds ---
75 ,/, 3000 ,epoch,Train loss:, 0.795634, acc:, 0.775, Test loss:, 1.064609, acc:, 0.619,---, 0.0386, seconds ---
76 ,/, 3000 ,epoch,Train loss:, 0.701627, acc:, 0.775, Test loss:, 1.064595, acc:, 0.643,---, 0.0391, seconds ---
77 ,/, 3000 ,epoch,Train loss:, 0.784410, acc:, 0.675, Test loss:, 1.070390, acc:, 0.643,---, 0.0387, seconds ---
78 ,/, 3000 ,epoch,Train loss:, 0.616718, acc:, 0.725, Test loss:, 1.046571, acc:, 0.667,---, 0.0390, seconds ---
79 ,/, 3000 ,epoch,Train loss:, 0.586237, acc:, 0.825, Test loss:, 1.033441, acc:, 0.690,---, 0.0387, seconds ---
80 ,/, 3000 ,epoch,Train loss:, 0.729443, acc:, 0.675, Test loss:, 1.026408, acc:, 0.690,---, 0.0385, seconds ---
81 ,/, 3000 ,epoch,Train loss:, 0.691890, acc:, 0.700, Test loss:, 1.044758, acc:, 0.690,---, 0.0388, seconds ---
82 ,/, 3000 ,epoch,Train loss:, 0.647783, acc:, 0.725, Test loss:, 1.056296, acc:, 0.667,---, 0.0391, seconds ---
83 ,/, 3000 ,epoch,Train loss:, 0.712680, acc:, 0.725, Test loss:, 1.095699, acc:, 0.643,---, 0.0392, seconds ---
84 ,/, 3000 ,epoch,Train loss:, 0.609462, acc:, 0.700, Test loss:, 1.075794, acc:, 0.643,---, 0.0385, seconds ---
85 ,/, 3000 ,epoch,Train loss:, 0.727995, acc:, 0.700, Test loss:, 1.020090, acc:, 0.667,---, 0.0386, seconds ---
86 ,/, 3000 ,epoch,Train loss:, 0.623591, acc:, 0.775, Test loss:, 0.951893, acc:, 0.667,---, 0.0387, seconds ---
87 ,/, 3000 ,epoch,Train loss:, 0.656703, acc:, 0.675, Test loss:, 0.935429, acc:, 0.714,---, 0.0389, seconds ---
88 ,/, 3000 ,epoch,Train loss:, 0.674761, acc:, 0.725, Test loss:, 0.895185, acc:, 0.714,---, 0.0390, seconds ---
89 ,/, 3000 ,epoch,Train loss:, 0.696898, acc:, 0.775, Test loss:, 0.901057, acc:, 0.714,---, 0.0389, seconds ---
90 ,/, 3000 ,epoch,Train loss:, 0.764789, acc:, 0.700, Test loss:, 0.901742, acc:, 0.690,---, 0.0388, seconds ---
91 ,/, 3000 ,epoch,Train loss:, 0.640778, acc:, 0.775, Test loss:, 0.958762, acc:, 0.714,---, 0.0385, seconds ---
92 ,/, 3000 ,epoch,Train loss:, 0.441938, acc:, 0.850, Test loss:, 1.010124, acc:, 0.714,---, 0.0387, seconds ---
93 ,/, 3000 ,epoch,Train loss:, 0.624700, acc:, 0.700, Test loss:, 1.063774, acc:, 0.667,---, 0.0387, seconds ---
94 ,/, 3000 ,epoch,Train loss:, 0.546012, acc:, 0.725, Test loss:, 1.090753, acc:, 0.690,---, 0.0386, seconds ---
95 ,/, 3000 ,epoch,Train loss:, 0.567437, acc:, 0.750, Test loss:, 1.075277, acc:, 0.690,---, 0.0385, seconds ---
96 ,/, 3000 ,epoch,Train loss:, 0.570782, acc:, 0.775, Test loss:, 1.033992, acc:, 0.714,---, 0.0384, seconds ---
97 ,/, 3000 ,epoch,Train loss:, 0.734477, acc:, 0.750, Test loss:, 0.988312, acc:, 0.714,---, 0.0385, seconds ---
98 ,/, 3000 ,epoch,Train loss:, 0.554908, acc:, 0.775, Test loss:, 0.943691, acc:, 0.738,---, 0.0386, seconds ---
99 ,/, 3000 ,epoch,Train loss:, 0.577793, acc:, 0.825, Test loss:, 0.931239, acc:, 0.738,---, 0.0386, seconds ---
100 ,/, 3000 ,epoch,Train loss:, 0.535555, acc:, 0.750, Test loss:, 0.963564, acc:, 0.738,---, 0.0385, seconds ---
101 ,/, 3000 ,epoch,Train loss:, 0.488327, acc:, 0.825, Test loss:, 0.961691, acc:, 0.762,---, 0.0385, seconds ---
102 ,/, 3000 ,epoch,Train loss:, 0.488209, acc:, 0.800, Test loss:, 0.962996, acc:, 0.738,---, 0.0386, seconds ---
103 ,/, 3000 ,epoch,Train loss:, 0.546162, acc:, 0.775, Test loss:, 0.937960, acc:, 0.738,---, 0.0384, seconds ---
104 ,/, 3000 ,epoch,Train loss:, 0.570291, acc:, 0.850, Test loss:, 0.918771, acc:, 0.762,---, 0.0385, seconds ---
105 ,/, 3000 ,epoch,Train loss:, 0.597960, acc:, 0.800, Test loss:, 0.909002, acc:, 0.762,---, 0.0385, seconds ---
106 ,/, 3000 ,epoch,Train loss:, 0.579077, acc:, 0.675, Test loss:, 0.903310, acc:, 0.738,---, 0.0385, seconds ---
107 ,/, 3000 ,epoch,Train loss:, 0.595553, acc:, 0.800, Test loss:, 0.910043, acc:, 0.714,---, 0.0384, seconds ---
108 ,/, 3000 ,epoch,Train loss:, 0.578320, acc:, 0.750, Test loss:, 0.897711, acc:, 0.738,---, 0.0387, seconds ---
109 ,/, 3000 ,epoch,Train loss:, 0.581603, acc:, 0.875, Test loss:, 0.872263, acc:, 0.738,---, 0.0387, seconds ---
110 ,/, 3000 ,epoch,Train loss:, 0.435009, acc:, 0.825, Test loss:, 0.862218, acc:, 0.762,---, 0.0388, seconds ---
111 ,/, 3000 ,epoch,Train loss:, 0.457079, acc:, 0.850, Test loss:, 0.875988, acc:, 0.714,---, 0.0388, seconds ---
112 ,/, 3000 ,epoch,Train loss:, 0.657309, acc:, 0.725, Test loss:, 0.910486, acc:, 0.738,---, 0.0387, seconds ---
113 ,/, 3000 ,epoch,Train loss:, 0.477488, acc:, 0.825, Test loss:, 0.912257, acc:, 0.738,---, 0.0385, seconds ---
114 ,/, 3000 ,epoch,Train loss:, 0.357121, acc:, 0.850, Test loss:, 0.935752, acc:, 0.738,---, 0.0387, seconds ---
115 ,/, 3000 ,epoch,Train loss:, 0.421028, acc:, 0.825, Test loss:, 0.959865, acc:, 0.738,---, 0.0385, seconds ---
116 ,/, 3000 ,epoch,Train loss:, 0.513671, acc:, 0.825, Test loss:, 0.983050, acc:, 0.738,---, 0.0386, seconds ---
117 ,/, 3000 ,epoch,Train loss:, 0.598234, acc:, 0.750, Test loss:, 0.971850, acc:, 0.738,---, 0.0384, seconds ---
118 ,/, 3000 ,epoch,Train loss:, 0.456999, acc:, 0.850, Test loss:, 0.935798, acc:, 0.738,---, 0.0385, seconds ---
119 ,/, 3000 ,epoch,Train loss:, 0.337691, acc:, 0.900, Test loss:, 0.899403, acc:, 0.738,---, 0.0388, seconds ---
120 ,/, 3000 ,epoch,Train loss:, 0.467506, acc:, 0.800, Test loss:, 0.897542, acc:, 0.738,---, 0.0385, seconds ---
121 ,/, 3000 ,epoch,Train loss:, 0.459463, acc:, 0.900, Test loss:, 0.876035, acc:, 0.738,---, 0.0386, seconds ---
122 ,/, 3000 ,epoch,Train loss:, 0.433428, acc:, 0.800, Test loss:, 0.913029, acc:, 0.738,---, 0.0397, seconds ---
123 ,/, 3000 ,epoch,Train loss:, 0.362905, acc:, 0.925, Test loss:, 0.985437, acc:, 0.738,---, 0.0395, seconds ---
124 ,/, 3000 ,epoch,Train loss:, 0.499132, acc:, 0.800, Test loss:, 0.987223, acc:, 0.738,---, 0.0386, seconds ---
125 ,/, 3000 ,epoch,Train loss:, 0.408835, acc:, 0.850, Test loss:, 0.946123, acc:, 0.738,---, 0.0385, seconds ---
126 ,/, 3000 ,epoch,Train loss:, 0.473189, acc:, 0.800, Test loss:, 0.873397, acc:, 0.738,---, 0.0387, seconds ---
127 ,/, 3000 ,epoch,Train loss:, 0.400842, acc:, 0.800, Test loss:, 0.829320, acc:, 0.738,---, 0.0385, seconds ---
128 ,/, 3000 ,epoch,Train loss:, 0.482192, acc:, 0.750, Test loss:, 0.832606, acc:, 0.738,---, 0.0388, seconds ---
129 ,/, 3000 ,epoch,Train loss:, 0.485212, acc:, 0.750, Test loss:, 0.819421, acc:, 0.738,---, 0.0387, seconds ---
130 ,/, 3000 ,epoch,Train loss:, 0.394348, acc:, 0.875, Test loss:, 0.810846, acc:, 0.738,---, 0.0390, seconds ---
131 ,/, 3000 ,epoch,Train loss:, 0.273540, acc:, 0.950, Test loss:, 0.817582, acc:, 0.738,---, 0.0391, seconds ---
132 ,/, 3000 ,epoch,Train loss:, 0.312556, acc:, 0.850, Test loss:, 0.834652, acc:, 0.738,---, 0.0386, seconds ---
133 ,/, 3000 ,epoch,Train loss:, 0.398234, acc:, 0.875, Test loss:, 0.849295, acc:, 0.714,---, 0.0386, seconds ---
134 ,/, 3000 ,epoch,Train loss:, 0.394415, acc:, 0.900, Test loss:, 0.834547, acc:, 0.738,---, 0.0390, seconds ---
135 ,/, 3000 ,epoch,Train loss:, 0.320005, acc:, 0.900, Test loss:, 0.822204, acc:, 0.738,---, 0.0385, seconds ---
136 ,/, 3000 ,epoch,Train loss:, 0.472650, acc:, 0.725, Test loss:, 0.777963, acc:, 0.762,---, 0.0386, seconds ---
137 ,/, 3000 ,epoch,Train loss:, 0.473126, acc:, 0.850, Test loss:, 0.771915, acc:, 0.786,---, 0.0387, seconds ---
138 ,/, 3000 ,epoch,Train loss:, 0.369099, acc:, 0.875, Test loss:, 0.787899, acc:, 0.786,---, 0.0389, seconds ---
139 ,/, 3000 ,epoch,Train loss:, 0.327386, acc:, 0.900, Test loss:, 0.798289, acc:, 0.786,---, 0.0385, seconds ---
140 ,/, 3000 ,epoch,Train loss:, 0.275882, acc:, 0.900, Test loss:, 0.853832, acc:, 0.738,---, 0.0386, seconds ---
141 ,/, 3000 ,epoch,Train loss:, 0.345379, acc:, 0.875, Test loss:, 0.937943, acc:, 0.738,---, 0.0386, seconds ---
142 ,/, 3000 ,epoch,Train loss:, 0.420801, acc:, 0.850, Test loss:, 0.955571, acc:, 0.738,---, 0.0387, seconds ---
143 ,/, 3000 ,epoch,Train loss:, 0.349341, acc:, 0.875, Test loss:, 1.013472, acc:, 0.762,---, 0.0386, seconds ---
144 ,/, 3000 ,epoch,Train loss:, 0.563841, acc:, 0.775, Test loss:, 1.027568, acc:, 0.762,---, 0.0387, seconds ---
145 ,/, 3000 ,epoch,Train loss:, 0.478537, acc:, 0.900, Test loss:, 0.938755, acc:, 0.738,---, 0.0385, seconds ---
146 ,/, 3000 ,epoch,Train loss:, 0.626770, acc:, 0.725, Test loss:, 0.892637, acc:, 0.738,---, 0.0385, seconds ---
147 ,/, 3000 ,epoch,Train loss:, 0.472447, acc:, 0.800, Test loss:, 0.861329, acc:, 0.714,---, 0.0387, seconds ---
148 ,/, 3000 ,epoch,Train loss:, 0.419423, acc:, 0.825, Test loss:, 0.832506, acc:, 0.738,---, 0.0385, seconds ---
149 ,/, 3000 ,epoch,Train loss:, 0.364965, acc:, 0.900, Test loss:, 0.807162, acc:, 0.738,---, 0.0387, seconds ---
150 ,/, 3000 ,epoch,Train loss:, 0.407387, acc:, 0.825, Test loss:, 0.774379, acc:, 0.738,---, 0.0385, seconds ---
151 ,/, 3000 ,epoch,Train loss:, 0.417812, acc:, 0.800, Test loss:, 0.763487, acc:, 0.738,---, 0.0386, seconds ---
152 ,/, 3000 ,epoch,Train loss:, 0.261204, acc:, 0.925, Test loss:, 0.795549, acc:, 0.738,---, 0.0389, seconds ---
153 ,/, 3000 ,epoch,Train loss:, 0.406101, acc:, 0.875, Test loss:, 0.826286, acc:, 0.714,---, 0.0385, seconds ---
154 ,/, 3000 ,epoch,Train loss:, 0.342643, acc:, 0.950, Test loss:, 0.827652, acc:, 0.738,---, 0.0386, seconds ---
155 ,/, 3000 ,epoch,Train loss:, 0.298476, acc:, 0.925, Test loss:, 0.877566, acc:, 0.738,---, 0.0385, seconds ---
156 ,/, 3000 ,epoch,Train loss:, 0.341961, acc:, 0.900, Test loss:, 0.867940, acc:, 0.714,---, 0.0386, seconds ---
157 ,/, 3000 ,epoch,Train loss:, 0.327164, acc:, 0.900, Test loss:, 0.827571, acc:, 0.714,---, 0.0387, seconds ---
158 ,/, 3000 ,epoch,Train loss:, 0.295361, acc:, 0.925, Test loss:, 0.836056, acc:, 0.738,---, 0.0384, seconds ---
159 ,/, 3000 ,epoch,Train loss:, 0.469196, acc:, 0.825, Test loss:, 0.901825, acc:, 0.714,---, 0.0385, seconds ---
160 ,/, 3000 ,epoch,Train loss:, 0.272292, acc:, 0.875, Test loss:, 0.913055, acc:, 0.738,---, 0.0388, seconds ---
161 ,/, 3000 ,epoch,Train loss:, 0.307806, acc:, 0.900, Test loss:, 0.870076, acc:, 0.738,---, 0.0384, seconds ---
162 ,/, 3000 ,epoch,Train loss:, 0.393016, acc:, 0.850, Test loss:, 0.835798, acc:, 0.738,---, 0.0387, seconds ---
163 ,/, 3000 ,epoch,Train loss:, 0.408513, acc:, 0.800, Test loss:, 0.804275, acc:, 0.714,---, 0.0386, seconds ---
164 ,/, 3000 ,epoch,Train loss:, 0.291616, acc:, 0.900, Test loss:, 0.751640, acc:, 0.714,---, 0.0385, seconds ---
165 ,/, 3000 ,epoch,Train loss:, 0.473308, acc:, 0.775, Test loss:, 0.692462, acc:, 0.738,---, 0.0389, seconds ---
166 ,/, 3000 ,epoch,Train loss:, 0.354382, acc:, 0.850, Test loss:, 0.669886, acc:, 0.738,---, 0.0387, seconds ---
167 ,/, 3000 ,epoch,Train loss:, 0.299129, acc:, 0.925, Test loss:, 0.642599, acc:, 0.714,---, 0.0388, seconds ---
168 ,/, 3000 ,epoch,Train loss:, 0.291224, acc:, 0.850, Test loss:, 0.642126, acc:, 0.714,---, 0.0389, seconds ---
169 ,/, 3000 ,epoch,Train loss:, 0.344912, acc:, 0.825, Test loss:, 0.650911, acc:, 0.714,---, 0.0389, seconds ---
170 ,/, 3000 ,epoch,Train loss:, 0.285495, acc:, 0.925, Test loss:, 0.645427, acc:, 0.786,---, 0.0386, seconds ---
171 ,/, 3000 ,epoch,Train loss:, 0.156790, acc:, 0.975, Test loss:, 0.643045, acc:, 0.786,---, 0.0386, seconds ---
172 ,/, 3000 ,epoch,Train loss:, 0.279818, acc:, 0.925, Test loss:, 0.624120, acc:, 0.786,---, 0.0387, seconds ---
173 ,/, 3000 ,epoch,Train loss:, 0.268982, acc:, 0.875, Test loss:, 0.591911, acc:, 0.762,---, 0.0390, seconds ---
174 ,/, 3000 ,epoch,Train loss:, 0.355194, acc:, 0.825, Test loss:, 0.543404, acc:, 0.762,---, 0.0390, seconds ---
175 ,/, 3000 ,epoch,Train loss:, 0.201492, acc:, 0.925, Test loss:, 0.621528, acc:, 0.738,---, 0.0389, seconds ---
176 ,/, 3000 ,epoch,Train loss:, 0.292106, acc:, 0.875, Test loss:, 0.696960, acc:, 0.738,---, 0.0385, seconds ---
177 ,/, 3000 ,epoch,Train loss:, 0.244295, acc:, 0.925, Test loss:, 0.731110, acc:, 0.714,---, 0.0385, seconds ---
178 ,/, 3000 ,epoch,Train loss:, 0.307999, acc:, 0.875, Test loss:, 0.728331, acc:, 0.714,---, 0.0386, seconds ---
179 ,/, 3000 ,epoch,Train loss:, 0.293886, acc:, 0.850, Test loss:, 0.684223, acc:, 0.714,---, 0.0384, seconds ---
180 ,/, 3000 ,epoch,Train loss:, 0.351887, acc:, 0.875, Test loss:, 0.690868, acc:, 0.738,---, 0.0386, seconds ---
181 ,/, 3000 ,epoch,Train loss:, 0.168128, acc:, 0.950, Test loss:, 0.643173, acc:, 0.738,---, 0.0385, seconds ---
182 ,/, 3000 ,epoch,Train loss:, 0.211969, acc:, 0.925, Test loss:, 0.651859, acc:, 0.762,---, 0.0387, seconds ---
183 ,/, 3000 ,epoch,Train loss:, 0.200569, acc:, 0.950, Test loss:, 0.623251, acc:, 0.762,---, 0.0390, seconds ---
184 ,/, 3000 ,epoch,Train loss:, 0.242852, acc:, 0.900, Test loss:, 0.717310, acc:, 0.762,---, 0.0385, seconds ---
185 ,/, 3000 ,epoch,Train loss:, 0.226061, acc:, 0.925, Test loss:, 0.775210, acc:, 0.738,---, 0.0386, seconds ---
186 ,/, 3000 ,epoch,Train loss:, 0.346375, acc:, 0.875, Test loss:, 0.762397, acc:, 0.762,---, 0.0387, seconds ---
187 ,/, 3000 ,epoch,Train loss:, 0.343586, acc:, 0.875, Test loss:, 0.705735, acc:, 0.762,---, 0.0385, seconds ---
188 ,/, 3000 ,epoch,Train loss:, 0.153808, acc:, 0.950, Test loss:, 0.658346, acc:, 0.762,---, 0.0387, seconds ---
189 ,/, 3000 ,epoch,Train loss:, 0.217831, acc:, 0.925, Test loss:, 0.662461, acc:, 0.786,---, 0.0388, seconds ---
190 ,/, 3000 ,epoch,Train loss:, 0.199663, acc:, 0.900, Test loss:, 0.735750, acc:, 0.738,---, 0.0387, seconds ---
191 ,/, 3000 ,epoch,Train loss:, 0.124186, acc:, 1.000, Test loss:, 0.746640, acc:, 0.738,---, 0.0387, seconds ---
192 ,/, 3000 ,epoch,Train loss:, 0.253799, acc:, 0.875, Test loss:, 0.768924, acc:, 0.738,---, 0.0385, seconds ---
