92 ,/, 3000 ,epoch,Train loss:, 0.415710, acc:, 0.900, Test loss:, 0.434329, acc:, 0.833,---, 0.0402, seconds ---
93 ,/, 3000 ,epoch,Train loss:, 0.495469, acc:, 0.800, Test loss:, 0.423032, acc:, 0.810,---, 0.0402, seconds ---
94 ,/, 3000 ,epoch,Train loss:, 0.505424, acc:, 0.725, Test loss:, 0.411623, acc:, 0.833,---, 0.0387, seconds ---
95 ,/, 3000 ,epoch,Train loss:, 0.446154, acc:, 0.775, Test loss:, 0.421620, acc:, 0.857,---, 0.0388, seconds ---
96 ,/, 3000 ,epoch,Train loss:, 0.425227, acc:, 0.800, Test loss:, 0.422873, acc:, 0.881,---, 0.0385, seconds ---
97 ,/, 3000 ,epoch,Train loss:, 0.490544, acc:, 0.825, Test loss:, 0.424151, acc:, 0.881,---, 0.0386, seconds ---
98 ,/, 3000 ,epoch,Train loss:, 0.495802, acc:, 0.775, Test loss:, 0.443871, acc:, 0.857,---, 0.0387, seconds ---
99 ,/, 3000 ,epoch,Train loss:, 0.512672, acc:, 0.775, Test loss:, 0.472599, acc:, 0.857,---, 0.0384, seconds ---
100 ,/, 3000 ,epoch,Train loss:, 0.376893, acc:, 0.850, Test loss:, 0.459393, acc:, 0.833,---, 0.0386, seconds ---
101 ,/, 3000 ,epoch,Train loss:, 0.459246, acc:, 0.800, Test loss:, 0.443040, acc:, 0.810,---, 0.0386, seconds ---
102 ,/, 3000 ,epoch,Train loss:, 0.448279, acc:, 0.800, Test loss:, 0.420570, acc:, 0.857,---, 0.0386, seconds ---
103 ,/, 3000 ,epoch,Train loss:, 0.426124, acc:, 0.850, Test loss:, 0.410191, acc:, 0.833,---, 0.0387, seconds ---
104 ,/, 3000 ,epoch,Train loss:, 0.518213, acc:, 0.750, Test loss:, 0.441186, acc:, 0.810,---, 0.0388, seconds ---
105 ,/, 3000 ,epoch,Train loss:, 0.460924, acc:, 0.800, Test loss:, 0.492277, acc:, 0.786,---, 0.0387, seconds ---
106 ,/, 3000 ,epoch,Train loss:, 0.532259, acc:, 0.850, Test loss:, 0.454155, acc:, 0.786,---, 0.0385, seconds ---
107 ,/, 3000 ,epoch,Train loss:, 0.523763, acc:, 0.775, Test loss:, 0.405060, acc:, 0.833,---, 0.0388, seconds ---
108 ,/, 3000 ,epoch,Train loss:, 0.431832, acc:, 0.700, Test loss:, 0.365091, acc:, 0.833,---, 0.0388, seconds ---
109 ,/, 3000 ,epoch,Train loss:, 0.389493, acc:, 0.875, Test loss:, 0.345748, acc:, 0.833,---, 0.0388, seconds ---
110 ,/, 3000 ,epoch,Train loss:, 0.354732, acc:, 0.875, Test loss:, 0.375267, acc:, 0.833,---, 0.0388, seconds ---
111 ,/, 3000 ,epoch,Train loss:, 0.379431, acc:, 0.825, Test loss:, 0.494243, acc:, 0.810,---, 0.0388, seconds ---
112 ,/, 3000 ,epoch,Train loss:, 0.485846, acc:, 0.750, Test loss:, 0.580333, acc:, 0.690,---, 0.0384, seconds ---
113 ,/, 3000 ,epoch,Train loss:, 0.448163, acc:, 0.800, Test loss:, 0.507507, acc:, 0.810,---, 0.0386, seconds ---
114 ,/, 3000 ,epoch,Train loss:, 0.402796, acc:, 0.850, Test loss:, 0.379265, acc:, 0.881,---, 0.0387, seconds ---
115 ,/, 3000 ,epoch,Train loss:, 0.372573, acc:, 0.800, Test loss:, 0.369710, acc:, 0.833,---, 0.0384, seconds ---
116 ,/, 3000 ,epoch,Train loss:, 0.449101, acc:, 0.850, Test loss:, 0.387585, acc:, 0.833,---, 0.0385, seconds ---
117 ,/, 3000 ,epoch,Train loss:, 0.436109, acc:, 0.825, Test loss:, 0.414121, acc:, 0.857,---, 0.0386, seconds ---
118 ,/, 3000 ,epoch,Train loss:, 0.468261, acc:, 0.800, Test loss:, 0.461565, acc:, 0.810,---, 0.0385, seconds ---
119 ,/, 3000 ,epoch,Train loss:, 0.410723, acc:, 0.875, Test loss:, 0.496862, acc:, 0.810,---, 0.0387, seconds ---
120 ,/, 3000 ,epoch,Train loss:, 0.404090, acc:, 0.825, Test loss:, 0.512679, acc:, 0.762,---, 0.0386, seconds ---
121 ,/, 3000 ,epoch,Train loss:, 0.445992, acc:, 0.825, Test loss:, 0.537693, acc:, 0.786,---, 0.0387, seconds ---
122 ,/, 3000 ,epoch,Train loss:, 0.371408, acc:, 0.900, Test loss:, 0.532502, acc:, 0.810,---, 0.0386, seconds ---
123 ,/, 3000 ,epoch,Train loss:, 0.380156, acc:, 0.875, Test loss:, 0.487864, acc:, 0.857,---, 0.0387, seconds ---
124 ,/, 3000 ,epoch,Train loss:, 0.469505, acc:, 0.825, Test loss:, 0.424899, acc:, 0.833,---, 0.0386, seconds ---
125 ,/, 3000 ,epoch,Train loss:, 0.372571, acc:, 0.825, Test loss:, 0.381285, acc:, 0.833,---, 0.0386, seconds ---
126 ,/, 3000 ,epoch,Train loss:, 0.338098, acc:, 0.825, Test loss:, 0.360520, acc:, 0.833,---, 0.0385, seconds ---
127 ,/, 3000 ,epoch,Train loss:, 0.349991, acc:, 0.775, Test loss:, 0.384826, acc:, 0.833,---, 0.0385, seconds ---
128 ,/, 3000 ,epoch,Train loss:, 0.241855, acc:, 0.975, Test loss:, 0.396220, acc:, 0.833,---, 0.0386, seconds ---
129 ,/, 3000 ,epoch,Train loss:, 0.454995, acc:, 0.825, Test loss:, 0.398812, acc:, 0.857,---, 0.0385, seconds ---
130 ,/, 3000 ,epoch,Train loss:, 0.257285, acc:, 0.975, Test loss:, 0.412610, acc:, 0.833,---, 0.0388, seconds ---
131 ,/, 3000 ,epoch,Train loss:, 0.391856, acc:, 0.850, Test loss:, 0.473503, acc:, 0.810,---, 0.0386, seconds ---
132 ,/, 3000 ,epoch,Train loss:, 0.279045, acc:, 0.925, Test loss:, 0.492992, acc:, 0.786,---, 0.0385, seconds ---
133 ,/, 3000 ,epoch,Train loss:, 0.470472, acc:, 0.775, Test loss:, 0.455289, acc:, 0.833,---, 0.0387, seconds ---
134 ,/, 3000 ,epoch,Train loss:, 0.464824, acc:, 0.725, Test loss:, 0.440851, acc:, 0.857,---, 0.0385, seconds ---
135 ,/, 3000 ,epoch,Train loss:, 0.480275, acc:, 0.775, Test loss:, 0.421865, acc:, 0.833,---, 0.0384, seconds ---
136 ,/, 3000 ,epoch,Train loss:, 0.347835, acc:, 0.875, Test loss:, 0.427944, acc:, 0.833,---, 0.0385, seconds ---
137 ,/, 3000 ,epoch,Train loss:, 0.332390, acc:, 0.850, Test loss:, 0.418833, acc:, 0.833,---, 0.0387, seconds ---
138 ,/, 3000 ,epoch,Train loss:, 0.295097, acc:, 0.875, Test loss:, 0.392911, acc:, 0.857,---, 0.0385, seconds ---
139 ,/, 3000 ,epoch,Train loss:, 0.359656, acc:, 0.825, Test loss:, 0.393891, acc:, 0.881,---, 0.0388, seconds ---
140 ,/, 3000 ,epoch,Train loss:, 0.185487, acc:, 0.925, Test loss:, 0.410087, acc:, 0.905,---, 0.0384, seconds ---
141 ,/, 3000 ,epoch,Train loss:, 0.337835, acc:, 0.850, Test loss:, 0.451070, acc:, 0.810,---, 0.0384, seconds ---
142 ,/, 3000 ,epoch,Train loss:, 0.352202, acc:, 0.825, Test loss:, 0.423894, acc:, 0.833,---, 0.0386, seconds ---
143 ,/, 3000 ,epoch,Train loss:, 0.243464, acc:, 0.950, Test loss:, 0.382048, acc:, 0.833,---, 0.0385, seconds ---
144 ,/, 3000 ,epoch,Train loss:, 0.289238, acc:, 0.875, Test loss:, 0.375195, acc:, 0.881,---, 0.0385, seconds ---
145 ,/, 3000 ,epoch,Train loss:, 0.349207, acc:, 0.875, Test loss:, 0.394674, acc:, 0.833,---, 0.0384, seconds ---
146 ,/, 3000 ,epoch,Train loss:, 0.349860, acc:, 0.925, Test loss:, 0.425307, acc:, 0.786,---, 0.0385, seconds ---
147 ,/, 3000 ,epoch,Train loss:, 0.240812, acc:, 0.900, Test loss:, 0.438563, acc:, 0.810,---, 0.0385, seconds ---
148 ,/, 3000 ,epoch,Train loss:, 0.356711, acc:, 0.875, Test loss:, 0.422569, acc:, 0.857,---, 0.0385, seconds ---
149 ,/, 3000 ,epoch,Train loss:, 0.583515, acc:, 0.825, Test loss:, 0.386956, acc:, 0.881,---, 0.0386, seconds ---
150 ,/, 3000 ,epoch,Train loss:, 0.266631, acc:, 0.950, Test loss:, 0.341530, acc:, 0.881,---, 0.0387, seconds ---
151 ,/, 3000 ,epoch,Train loss:, 0.436244, acc:, 0.875, Test loss:, 0.333028, acc:, 0.905,---, 0.0386, seconds ---
152 ,/, 3000 ,epoch,Train loss:, 0.297909, acc:, 0.875, Test loss:, 0.320667, acc:, 0.905,---, 0.0388, seconds ---
153 ,/, 3000 ,epoch,Train loss:, 0.299249, acc:, 0.875, Test loss:, 0.325985, acc:, 0.881,---, 0.0391, seconds ---
154 ,/, 3000 ,epoch,Train loss:, 0.215281, acc:, 0.950, Test loss:, 0.329528, acc:, 0.881,---, 0.0385, seconds ---
155 ,/, 3000 ,epoch,Train loss:, 0.341165, acc:, 0.900, Test loss:, 0.334811, acc:, 0.881,---, 0.0385, seconds ---
156 ,/, 3000 ,epoch,Train loss:, 0.277246, acc:, 0.925, Test loss:, 0.351258, acc:, 0.881,---, 0.0387, seconds ---
157 ,/, 3000 ,epoch,Train loss:, 0.304158, acc:, 0.925, Test loss:, 0.361726, acc:, 0.833,---, 0.0385, seconds ---
158 ,/, 3000 ,epoch,Train loss:, 0.219626, acc:, 0.975, Test loss:, 0.359686, acc:, 0.833,---, 0.0385, seconds ---
159 ,/, 3000 ,epoch,Train loss:, 0.320537, acc:, 0.825, Test loss:, 0.396697, acc:, 0.833,---, 0.0388, seconds ---
160 ,/, 3000 ,epoch,Train loss:, 0.307337, acc:, 0.875, Test loss:, 0.427744, acc:, 0.833,---, 0.0385, seconds ---
161 ,/, 3000 ,epoch,Train loss:, 0.288803, acc:, 0.850, Test loss:, 0.447985, acc:, 0.833,---, 0.0385, seconds ---
162 ,/, 3000 ,epoch,Train loss:, 0.288015, acc:, 0.900, Test loss:, 0.375583, acc:, 0.833,---, 0.0386, seconds ---
163 ,/, 3000 ,epoch,Train loss:, 0.355686, acc:, 0.875, Test loss:, 0.346509, acc:, 0.857,---, 0.0385, seconds ---
164 ,/, 3000 ,epoch,Train loss:, 0.246948, acc:, 0.900, Test loss:, 0.329284, acc:, 0.857,---, 0.0391, seconds ---
165 ,/, 3000 ,epoch,Train loss:, 0.259142, acc:, 0.900, Test loss:, 0.380294, acc:, 0.833,---, 0.0391, seconds ---
166 ,/, 3000 ,epoch,Train loss:, 0.268149, acc:, 0.925, Test loss:, 0.409865, acc:, 0.857,---, 0.0385, seconds ---
167 ,/, 3000 ,epoch,Train loss:, 0.267342, acc:, 0.900, Test loss:, 0.418115, acc:, 0.881,---, 0.0386, seconds ---
168 ,/, 3000 ,epoch,Train loss:, 0.271202, acc:, 0.925, Test loss:, 0.406676, acc:, 0.857,---, 0.0388, seconds ---
169 ,/, 3000 ,epoch,Train loss:, 0.193444, acc:, 1.000, Test loss:, 0.403986, acc:, 0.833,---, 0.0385, seconds ---
170 ,/, 3000 ,epoch,Train loss:, 0.150349, acc:, 1.000, Test loss:, 0.391409, acc:, 0.857,---, 0.0386, seconds ---
171 ,/, 3000 ,epoch,Train loss:, 0.310188, acc:, 0.875, Test loss:, 0.379102, acc:, 0.905,---, 0.0384, seconds ---
172 ,/, 3000 ,epoch,Train loss:, 0.205035, acc:, 0.925, Test loss:, 0.409902, acc:, 0.881,---, 0.0385, seconds ---
173 ,/, 3000 ,epoch,Train loss:, 0.251381, acc:, 0.925, Test loss:, 0.425865, acc:, 0.881,---, 0.0388, seconds ---
174 ,/, 3000 ,epoch,Train loss:, 0.227607, acc:, 0.950, Test loss:, 0.425093, acc:, 0.881,---, 0.0385, seconds ---
175 ,/, 3000 ,epoch,Train loss:, 0.277346, acc:, 0.875, Test loss:, 0.387965, acc:, 0.905,---, 0.0386, seconds ---
176 ,/, 3000 ,epoch,Train loss:, 0.374896, acc:, 0.875, Test loss:, 0.334445, acc:, 0.857,---, 0.0386, seconds ---
177 ,/, 3000 ,epoch,Train loss:, 0.331655, acc:, 0.875, Test loss:, 0.326820, acc:, 0.857,---, 0.0384, seconds ---
178 ,/, 3000 ,epoch,Train loss:, 0.197253, acc:, 0.950, Test loss:, 0.327376, acc:, 0.857,---, 0.0386, seconds ---
179 ,/, 3000 ,epoch,Train loss:, 0.233619, acc:, 0.900, Test loss:, 0.316535, acc:, 0.881,---, 0.0386, seconds ---
180 ,/, 3000 ,epoch,Train loss:, 0.237404, acc:, 0.900, Test loss:, 0.367257, acc:, 0.905,---, 0.0388, seconds ---
181 ,/, 3000 ,epoch,Train loss:, 0.228479, acc:, 0.900, Test loss:, 0.461883, acc:, 0.810,---, 0.0386, seconds ---
182 ,/, 3000 ,epoch,Train loss:, 0.328862, acc:, 0.925, Test loss:, 0.546273, acc:, 0.786,---, 0.0387, seconds ---
183 ,/, 3000 ,epoch,Train loss:, 0.302319, acc:, 0.900, Test loss:, 0.503039, acc:, 0.786,---, 0.0386, seconds ---
184 ,/, 3000 ,epoch,Train loss:, 0.347450, acc:, 0.900, Test loss:, 0.362843, acc:, 0.833,---, 0.0545, seconds ---
