0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
0,10.726100477558953,0,0,0,0,0,0,0,9.283877191502727,11.162011173182137,23.48215059959579,0,0,0,0,0,0,0,0,0,8.874286373322718,0,0,0,0,0,14.273127753290984,0,0,0,0,12.398930725644757,0,0,0,0,21.891380073056656,0,0,0,0,0,0,0,0,0,0,0,19.403314995445495,0,0,0,0,0,0,7.455759879961477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.92843475526017,28.406874973811075,0,0,0,0,9.8614540064627,0,0,0,0,0,0,0,0,0,26.121081142991226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13.639680619754374,0,0,0,0,0,0,0,10.325102838588064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.642989108662128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.95832757868598,0,0,0,0,23.383974168945826,13.397068534290675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11.970192599039631,0,0,0,0,0,0,6.921175589048105,0,0,14.67037750771119,0,0,10.400436848479998,0,0,0,0,0,0,0,0,0,23.497044731423976,0,0,0,0,0,0,0,0,11.591108580583251,0,0,11.977914301951877,0,0,0,0,0,0,0,11.82248520709824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.389440747117701,0,0,0,0,0,0,0,23.142857142836096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.045538523683392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.510204081627641,0,0,0,0,0,0,0,0,0,0,0,0,0,15.716316651220415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.842623438133128,0,0,0,0,0,0,18.23789670730861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.585743068866247,0,0,0,0,0,0,0,0,0,0,0,0,0,23.11817262419543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,26.781940322846058,0,0,0,0,10.259306803595956,0,0,0,0,0,0,0,15.699622197507464,0,27.754118263622544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.944649446497863,0,0,0,9.501767498744874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.300211775120825,0,0,0,0,0,0,0,0,0,0,0,0,13.432047825504736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20.222732506624286,0,0,0,0,18.7052641105253,0,0,0,0,0,0,0,0,0,0,9.860178797453464,22.078464245351775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.65845845041002,0,0,0,22.641579949954487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5620078377828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.135225794735106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.076180616671678,0,0,0,0,0,0,0,0,0,0,20.340196671181488,0,26.720141308698977,31.93994364427385,0,0,0,11.676445541382467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.590002390845985,0,0,0,0,0,0,0,20.927208468272045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.197452229293496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,23.43419778249015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.166246918859066,8.900474597175812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.55202806376454,0,0,0,0,0,0,12.007211538460856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
