,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
13,0,0,0,0,0,0,0,0,10.551555201595988,0,0,0,0,0,12.001106494167836,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8611857929263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.162704796358838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.671119007805439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.185131389250227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.537425766031898,0,0,0,0,0,0,12.099748151320593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.312375915496865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,25.838944415409326,0,0,14.945057099020392,20.33389058169294,0,0,0,0,0,0,0,0,0,18.84422826801317,0,0,20.012742215876962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9135085189986,0,10.34380773503968,0,0,22.694170484089312,0,0,0,0,0,0,8.700619991981482,0,4.366576819403036,0,0,0,0,0,0,0,0,0,0,0,12.480151641039509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.862294121766872,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,17.105484013856742,0,0,0,13.057041414131014,12.871320573065582,28.095297730961803,0,0,0,0,0,0,0,0,0,0,0,0,10.756854712286874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.959641255609965,0,0,0,0,0,24.524154371253204,0,0,0,0,14.934248613957957,0,0,0,0,0,0,0,10.153567731252794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,7.297126691014771,0,0,6.159695817484892,0,12.193544648612459,0,0,0,0,0,15.76331360946432,0,19.054968176550556,0,0,0,0,0,0,0,0,0,12.2201834862361,0,10.280831762555604,0,0,0,10.544380184184721,0,0,0,0,0,0,18.616366810590584,0,0,6.512562814069056,0,0,0,6.660000000003407,0,11.483201600820578,0,11.94430025478385,0,0,22.763160695431942,0,0,0,0,0,18.335702759763805,0,0,11.58665386748967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.523000101560964,11.43529411764749,0,18.119456348494083,0,0,0,0,0,19.766599608506347,0,0,17.63313587379377,18.049595344603954,0,0,0,0,0,0,22.67433859137887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,5.7042253521237,9.817699078564159,0,16.512396694215504,0,0,0,0,0,0,0,12.60437498838779,0,0,0,19.824792606796716,0,18.82922441912096,0,0,0,0,0,0,0,0,0,0,0,0,41.8249944484993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.93506304981851,14.532413325336181,0,0,0,0,0,19.249519607051788,0,0,0,0,13.467210254353947,0,0,0,0,0,0,0,0,0,0,33.86440677965428,0,0,8.421664828080019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.536465815308503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,25.03653547799419,0,0,0,0,0,0,0,0,0,0,0,10.06330761514191,10.542524185765979,0,0,0,0,0,0,0,0,18.588090589270767,0,0,0,0,0,0,0,0,0,0,0,31.218749999971607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.687648733731063,0,0,10.675631856070162,0,0,0,0,0,0,0,0,18.884688090736166,0,0,0,0,0,0,0,0,0,0,28.863118490069507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,10.460973532423619,0,0,0,0,0,0,0,0,0,21.199756801516823,0,0,12.239618155918597,0,0,0,0,0,18.184592597368177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.232558139513753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.94669525254706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.757142857145291,0,0,0,0,0,0,0,0,0,0,0,18.684531418286014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.366524800883699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.25062137718951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.05896798210181,0,0,0,0,0,0,0,0,0,0,0,0,0,0
